DateTime_CST,floorhour,Time_sec,DateTime_UTC,Battery_V,Temp_degC,DO_mgL,DO_sat
2018-12-14T02:00:00Z,2018-12-14T02:00:00Z,1544752800,2018-12-14T08:00:00Z,3.38,3.896,0.159,0.0120988011223323
2018-12-14T03:00:00Z,2018-12-14T03:00:00Z,1544756400,2018-12-14T09:00:00Z,3.38,3.865,0.161,0.01224097559129509
2018-12-14T04:00:00Z,2018-12-14T04:00:00Z,1544760000,2018-12-14T10:00:00Z,3.39,3.854,0.165,0.01254145899608734
2018-12-14T05:00:00Z,2018-12-14T05:00:00Z,1544763600,2018-12-14T11:00:00Z,3.38,3.886,0.166,0.01262812259272625
2018-12-14T06:00:00Z,2018-12-14T06:00:00Z,1544767200,2018-12-14T12:00:00Z,3.38,3.896,0.165,0.0125553596552505
2018-12-14T07:00:00Z,2018-12-14T07:00:00Z,1544770800,2018-12-14T13:00:00Z,3.39,3.865,0.165,0.01254509920847012
2018-12-14T08:00:00Z,2018-12-14T08:00:00Z,1544774400,2018-12-14T14:00:00Z,3.38,3.875,0.161,0.01224420491255917
2018-12-14T09:00:00Z,2018-12-14T09:00:00Z,1544778000,2018-12-14T15:00:00Z,3.38,3.865,0.159,0.01208891378270757
2018-12-14T10:00:00Z,2018-12-14T10:00:00Z,1544781600,2018-12-14T16:00:00Z,3.39,3.865,0.165,0.01254509920847012
2018-12-14T11:00:00Z,2018-12-14T11:00:00Z,1544785200,2018-12-14T17:00:00Z,3.39,3.886,0.166,0.01262812259272625
2018-12-14T12:00:00Z,2018-12-14T12:00:00Z,1544788800,2018-12-14T18:00:00Z,3.39,3.896,0.165,0.0125553596552505
2018-12-14T13:00:00Z,2018-12-14T13:00:00Z,1544792400,2018-12-14T19:00:00Z,3.39,3.948,0.163,0.01242018137993395
2018-12-14T14:00:00Z,2018-12-14T14:00:00Z,1544796000,2018-12-14T20:00:00Z,3.38,3.896,0.159,0.0120988011223323
2018-12-14T15:00:00Z,2018-12-14T15:00:00Z,1544799600,2018-12-14T21:00:00Z,3.39,3.896,0.164,0.0124792665664308
2018-12-14T16:00:00Z,2018-12-14T16:00:00Z,1544803200,2018-12-14T22:00:00Z,3.38,3.886,0.161,0.01224775745439112
2018-12-14T17:00:00Z,2018-12-14T17:00:00Z,1544806800,2018-12-14T23:00:00Z,3.38,3.865,0.156,0.0118608210698263
2018-12-14T18:00:00Z,2018-12-14T18:00:00Z,1544810400,2018-12-15T00:00:00Z,3.39,3.896,0.154,0.0117183356782338
2018-12-14T19:00:00Z,2018-12-14T19:00:00Z,1544814000,2018-12-15T01:00:00Z,3.38,3.906,0.157,0.01194976478896356
2018-12-14T20:00:00Z,2018-12-14T20:00:00Z,1544817600,2018-12-15T02:00:00Z,3.39,3.937,0.155,0.01180718013971005
2018-12-14T21:00:00Z,2018-12-14T21:00:00Z,1544821200,2018-12-15T03:00:00Z,3.39,3.927,0.159,0.01210869082986266
2018-12-14T22:00:00Z,2018-12-14T22:00:00Z,1544824800,2018-12-15T04:00:00Z,3.39,3.958,0.162,0.01234723540956361
2018-12-14T23:00:00Z,2018-12-14T23:00:00Z,1544828400,2018-12-15T05:00:00Z,3.39,3.927,0.162,0.01233715669457706
2018-12-15T00:00:00Z,2018-12-15T00:00:00Z,1544832000,2018-12-15T06:00:00Z,3.39,3.917,0.162,0.01233390600996086
2018-12-15T01:00:00Z,2018-12-15T01:00:00Z,1544835600,2018-12-15T07:00:00Z,3.39,3.948,0.161,0.01226778651637648
2018-12-15T02:00:00Z,2018-12-15T02:00:00Z,1544839200,2018-12-15T08:00:00Z,3.39,3.917,0.16,0.01218163556539345
2018-12-15T03:00:00Z,2018-12-15T03:00:00Z,1544842800,2018-12-15T09:00:00Z,3.39,3.927,0.161,0.01226100140633892
2018-12-15T04:00:00Z,2018-12-15T04:00:00Z,1544846400,2018-12-15T10:00:00Z,3.39,3.886,0.163,0.01239990350972518
2018-12-15T05:00:00Z,2018-12-15T05:00:00Z,1544850000,2018-12-15T11:00:00Z,3.39,3.948,0.163,0.01242018137993395
2018-12-15T06:00:00Z,2018-12-15T06:00:00Z,1544853600,2018-12-15T12:00:00Z,3.39,3.917,0.166,0.0126384468990957
2018-12-15T07:00:00Z,2018-12-15T07:00:00Z,1544857200,2018-12-15T13:00:00Z,3.39,3.917,0.164,0.01248617645452828
2018-12-15T08:00:00Z,2018-12-15T08:00:00Z,1544860800,2018-12-15T14:00:00Z,3.39,3.886,0.158,0.01201953837139005
2018-12-15T09:00:00Z,2018-12-15T09:00:00Z,1544864400,2018-12-15T15:00:00Z,3.39,3.875,0.166,0.01262445972350822
2018-12-15T10:00:00Z,2018-12-15T10:00:00Z,1544868000,2018-12-15T16:00:00Z,3.39,3.865,0.165,0.01254509920847012
2018-12-15T11:00:00Z,2018-12-15T11:00:00Z,1544871600,2018-12-15T17:00:00Z,3.39,3.844,0.165,0.01253814998109255
2018-12-15T12:00:00Z,2018-12-15T12:00:00Z,1544875200,2018-12-15T18:00:00Z,3.39,3.854,0.165,0.01254145899608734
2018-12-15T13:00:00Z,2018-12-15T13:00:00Z,1544878800,2018-12-15T19:00:00Z,3.39,3.875,0.164,0.0124723577991286
2018-12-15T14:00:00Z,2018-12-15T14:00:00Z,1544882400,2018-12-15T20:00:00Z,3.39,3.979,0.157,0.01197276601260459
2018-12-15T15:00:00Z,2018-12-15T15:00:00Z,1544886000,2018-12-15T21:00:00Z,3.39,3.948,0.161,0.01226778651637648
2018-12-15T16:00:00Z,2018-12-15T16:00:00Z,1544889600,2018-12-15T22:00:00Z,3.39,3.917,0.163,0.01241004123224457
2018-12-15T17:00:00Z,2018-12-15T17:00:00Z,1544893200,2018-12-15T23:00:00Z,3.39,3.927,0.164,0.01248946727105332
2018-12-15T18:00:00Z,2018-12-15T18:00:00Z,1544896800,2018-12-16T00:00:00Z,3.39,3.906,0.164,0.01248255684961798
2018-12-15T19:00:00Z,2018-12-15T19:00:00Z,1544900400,2018-12-16T01:00:00Z,3.39,3.917,0.164,0.01248617645452828
2018-12-15T20:00:00Z,2018-12-15T20:00:00Z,1544904000,2018-12-16T02:00:00Z,3.39,3.886,0.159,0.01209561139905707
2018-12-15T21:00:00Z,2018-12-15T21:00:00Z,1544907600,2018-12-16T03:00:00Z,3.39,3.896,0.16,0.012174894211152
2018-12-15T22:00:00Z,2018-12-15T22:00:00Z,1544911200,2018-12-16T04:00:00Z,3.39,3.906,0.163,0.01240644369809592
2018-12-15T23:00:00Z,2018-12-15T23:00:00Z,1544914800,2018-12-16T05:00:00Z,3.39,3.917,0.162,0.01233390600996086
2018-12-16T00:00:00Z,2018-12-16T00:00:00Z,1544918400,2018-12-16T06:00:00Z,3.39,3.906,0.165,0.01255867000114004
2018-12-16T01:00:00Z,2018-12-16T01:00:00Z,1544922000,2018-12-16T07:00:00Z,3.39,3.906,0.163,0.01240644369809592
2018-12-16T02:00:00Z,2018-12-16T02:00:00Z,1544925600,2018-12-16T08:00:00Z,3.39,3.927,0.159,0.01210869082986266
2018-12-16T03:00:00Z,2018-12-16T03:00:00Z,1544929200,2018-12-16T09:00:00Z,3.39,3.896,0.155,0.0117944287670535
2018-12-16T04:00:00Z,2018-12-16T04:00:00Z,1544932800,2018-12-16T10:00:00Z,3.39,3.906,0.159,0.01210199109200768
2018-12-16T05:00:00Z,2018-12-16T05:00:00Z,1544936400,2018-12-16T11:00:00Z,3.39,3.906,0.16,0.01217810424352974
2018-12-16T06:00:00Z,2018-12-16T06:00:00Z,1544940000,2018-12-16T12:00:00Z,3.39,3.927,0.158,0.01203253554162453
2018-12-16T07:00:00Z,2018-12-16T07:00:00Z,1544943600,2018-12-16T13:00:00Z,3.39,3.917,0.153,0.01164868900940748
2018-12-16T08:00:00Z,2018-12-16T08:00:00Z,1544947200,2018-12-16T14:00:00Z,3.39,3.937,0.151,0.01150247871674979
